,id,longitude,latitude,elevation
0,I02D,-123.846901,44.1059,109.0
0,J25B,-124.621696,44.471298,-147.0
0,FS16B,-124.739502,40.538101,-1073.0
0,M12B,-124.946098,42.183998,-1045.0
0,J09B,-124.726997,43.151001,-252.0
0,G26B,-125.177498,41.9249,-2357.0
0,G17B,-124.344597,41.283901,-123.0
0,G10B,-125.553299,40.677898,-2936.0
0,M09B,-125.058899,44.249699,-914.0
0,G25B,-124.586098,41.919899,-430.0
0,G27B,-126.016701,41.916599,-3480.0
0,M14B,-124.589699,40.985001,-638.0
0,FS09B,-124.808502,40.438702,-2161.0
0,FS13B,-124.806503,40.493099,-2332.0
0,FS17B,-124.596497,40.559799,-146.0
0,G19B,-125.773598,41.3074,-3071.0
0,J01E,-123.931396,43.161499,128.0
0,FS20B,-125.031097,40.3895,-2378.0
0,J33B,-124.570602,45.106602,-350.0
0,BABR,-123.78924,44.62132,438.7
