,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,datetime
0,2015-12-30T15:14:18.870Z,40.6635,-124.3713333,31.19,2.65,md,18.0,215.0,0.1198,0.08,nc,nc72571690,2022-08-02T01:55:40.162Z,near the coast of Northern California,earthquake,0.88,0.87,0.204,41.0,reviewed,nc,nc,2015-12-30 15:14:18.870000+00:00
1,2015-12-30T14:56:15.320Z,43.3138,-126.7701,10.0,3.2,ml,,196.0,1.838,0.73,us,us10004af0,2016-03-18T01:13:08.040Z,off the coast of Oregon,earthquake,8.7,2.0,0.056,42.0,reviewed,us,us,2015-12-30 14:56:15.320000+00:00
2,2015-12-30T07:39:29.310Z,48.5865,-123.3003333,52.42,4.79,ml,27.0,81.0,0.1167,0.19,uw,uw61114971,2023-12-08T03:14:29.582Z,"12 km SE of North Saanich, Canada",earthquake,0.43,0.67,0.137,178.0,reviewed,uw,uw,2015-12-30 07:39:29.310000+00:00
3,2015-12-29T21:21:55.820Z,40.6046667,-124.4275,28.36,2.84,ml,23.0,228.0,0.1279,0.08,nc,nc72571340,2022-08-02T01:38:50.110Z,"14 km WNW of Ferndale, California",earthquake,0.75,0.51,0.27,19.0,reviewed,nc,nc,2015-12-29 21:21:55.820000+00:00
4,2015-12-29T07:33:12.890Z,48.9155,-125.569,33.97,1.82,ml,4.0,313.0,0.02003,0.1,uw,uw61114681,2016-07-22T20:01:39.270Z,"3 km SSW of Ucluelet, Canada",earthquake,1.23,0.78,0.21,3.0,reviewed,uw,uw,2015-12-29 07:33:12.890000+00:00
5,2015-12-29T03:35:28.390Z,41.0703333,-125.286,16.86,4.87,mw,53.0,240.0,0.8829,0.18,nc,nc72571010,2020-05-02T03:38:48.964Z,"96 km W of Trinidad, California",earthquake,1.18,3.39,,5.0,reviewed,nc,nc,2015-12-29 03:35:28.390000+00:00
6,2015-12-29T03:27:40.990Z,40.4978333,-124.2928333,18.39,1.75,md,18.0,140.0,0.04054,0.06,nc,nc72570995,2017-02-08T23:13:08.906Z,"9 km SSW of Ferndale, California",earthquake,0.39,0.26,0.147,11.0,reviewed,nc,nc,2015-12-29 03:27:40.990000+00:00
7,2015-12-29T03:04:20.820Z,40.504,-124.2906667,17.88,1.69,md,16.0,160.0,0.04595,0.1,nc,nc71015237,2017-02-08T23:12:58.691Z,"8 km SSW of Ferndale, California",earthquake,0.43,0.32,0.081,7.0,reviewed,nc,nc,2015-12-29 03:04:20.820000+00:00
8,2015-12-29T00:15:58.240Z,40.4216667,-124.446,20.65,2.98,ml,21.0,243.0,0.0991,0.1,nc,nc72570930,2017-09-23T00:26:23.666Z,"23 km SW of Ferndale, California",earthquake,0.83,0.22,0.156,18.0,reviewed,nc,nc,2015-12-29 00:15:58.240000+00:00
9,2015-12-28T04:27:45.180Z,40.0841667,-123.6685,9.29,1.78,md,17.0,77.0,0.1225,0.08,nc,nc72570640,2017-02-08T23:08:17.947Z,"10 km E of Benbow, CA",earthquake,0.26,0.51,0.163,12.0,reviewed,nc,nc,2015-12-28 04:27:45.180000+00:00
10,2015-12-26T06:24:15.350Z,40.2961667,-124.4073333,8.83,2.01,md,15.0,248.0,0.0973,0.12,nc,nc72572376,2017-02-08T22:56:42.968Z,"33 km SW of Scotia, California",earthquake,0.48,0.54,0.246,12.0,reviewed,nc,nc,2015-12-26 06:24:15.350000+00:00
11,2015-12-26T00:02:24.130Z,40.2191667,-125.4193333,23.55,3.32,ml,12.0,331.0,0.8649,0.17,nc,nc72572216,2017-02-08T22:54:14.507Z,"105 km WSW of Ferndale, California",earthquake,2.99,31.61,0.131,14.0,reviewed,nc,nc,2015-12-26 00:02:24.130000+00:00
12,2015-12-25T12:01:25.970Z,43.8449,-128.4831,10.0,3.6,mb,,210.0,3.211,1.14,us,us10004b9u,2016-03-18T01:13:00.040Z,off the coast of Oregon,earthquake,4.8,2.0,0.189,7.0,reviewed,us,us,2015-12-25 12:01:25.970000+00:00
13,2015-12-25T08:54:02.760Z,44.0248,-128.4525,10.0,4.2,mb,,197.0,3.558,1.09,us,us10004b9n,2016-03-18T01:13:00.040Z,off the coast of Oregon,earthquake,6.1,1.9,0.118,20.0,reviewed,us,us,2015-12-25 08:54:02.760000+00:00
14,2015-12-25T02:04:54.570Z,43.239,-126.7178,10.0,3.3,ml,,215.0,2.008,0.68,us,us10004b9e,2016-03-18T01:13:00.040Z,"187 km W of Langlois, Oregon",earthquake,3.9,2.0,0.077,22.0,reviewed,us,us,2015-12-25 02:04:54.570000+00:00
15,2015-12-25T00:07:27.740Z,40.5016667,-124.2941667,18.11,1.69,md,16.0,160.0,0.04234,0.07,nc,nc72571771,2017-02-08T22:45:46.736Z,"8 km SSW of Ferndale, California",earthquake,0.37,0.35,0.147,9.0,reviewed,nc,nc,2015-12-25 00:07:27.740000+00:00
16,2015-12-24T19:26:34.870Z,40.2935,-124.3938333,8.74,1.59,md,14.0,244.0,0.08829,0.1,nc,nc72571561,2017-02-08T22:42:55.462Z,"32 km SW of Scotia, California",earthquake,0.49,0.32,0.076,7.0,reviewed,nc,nc,2015-12-24 19:26:34.870000+00:00
17,2015-12-24T02:07:53.370Z,40.2995,-124.6328333,20.4,2.33,md,10.0,287.0,0.2676,0.06,nc,nc72571306,2017-02-08T22:37:57.696Z,"43 km SW of Ferndale, California",earthquake,0.95,0.34,0.165,9.0,reviewed,nc,nc,2015-12-24 02:07:53.370000+00:00
18,2015-12-23T17:47:06.240Z,40.3018333,-124.4133333,8.98,1.77,md,13.0,249.0,0.1009,0.11,nc,nc72571116,2017-02-08T22:35:05.831Z,"33 km SSW of Ferndale, California",earthquake,0.46,0.59,0.197,10.0,reviewed,nc,nc,2015-12-23 17:47:06.240000+00:00
19,2015-12-23T13:09:52.390Z,40.2993333,-124.4135,7.9,2.1,md,16.0,250.0,0.1009,0.12,nc,nc72571026,2017-02-08T22:34:27.503Z,"33 km SSW of Ferndale, California",earthquake,0.64,0.35,0.103,11.0,reviewed,nc,nc,2015-12-23 13:09:52.390000+00:00
20,2015-12-23T12:00:02.190Z,40.2988333,-124.4071667,9.57,1.74,md,13.0,247.0,0.0964,0.09,nc,nc72571006,2017-02-08T22:34:05.802Z,"33 km SW of Scotia, California",earthquake,0.48,0.38,0.135,7.0,reviewed,nc,nc,2015-12-23 12:00:02.190000+00:00
