,Unnamed: 0,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,datetime
0,1922,2011-02-02T15:45:51.000Z,48.7968333,-124.6315,40.609,1.6,md,10.0,97.0,0.2078,0.37,uw,uw10810623,2016-07-22T17:36:01.080Z,"42 km W of Lake Cowichan, Canada",earthquake,0.897,0.98,0.02,4.0,reviewed,uw,uw,2011-02-02 15:45:51+00:00
1,2262,2011-02-08T16:36:36.410Z,48.563,-123.115,51.711,3.63,ml,48.0,67.0,0.06973,0.24,uw,uw10813623,2022-08-09T08:21:49.467Z,"7 km WNW of Friday Harbor, Washington",earthquake,0.4,0.58,0.177,103.0,reviewed,uw,uw,2011-02-08 16:36:36.410000+00:00
2,4886,2011-03-20T04:20:35.280Z,49.665,-128.621,10.0,4.6,mwr,206.0,151.5,,,us,usp000hy0e,2014-11-07T01:44:15.172Z,"150 km SW of Port McNeill, Canada",earthquake,,,,,reviewed,pgc,pgc,2011-03-20 04:20:35.280000+00:00
3,39220,2012-07-03T03:32:57.370Z,48.8751667,-126.1895,4.417,2.25,md,11.0,250.0,0.4301,0.25,uw,uw60421337,2016-07-22T18:57:37.690Z,"37 km SSW of Tofino, Canada",earthquake,1.64,22.78,0.092,7.0,reviewed,uw,uw,2012-07-03 03:32:57.370000+00:00
4,39692,2012-07-09T13:56:01.860Z,48.5925,-124.8583333,30.87,2.65,md,31.0,144.0,0.3029,0.27,uw,uw60424067,2016-07-22T18:58:01.410Z,"30 km NW of Neah Bay, Washington",earthquake,0.63,1.14,0.108,17.0,reviewed,uw,uw,2012-07-09 13:56:01.860000+00:00
5,81964,2014-02-09T14:33:19.320Z,47.7858333,-123.7595,34.557,2.51,ml,27.0,70.0,0.04765,0.3,uw,uw60688367,2016-07-22T19:24:58.960Z,"37 km NNE of Amanda Park, Washington",earthquake,0.61,1.39,0.211,35.0,reviewed,uw,uw,2014-02-09 14:33:19.320000+00:00
6,84803,2014-03-21T18:50:26.470Z,48.119,-124.6428333,31.638,2.31,ml,19.0,173.0,0.1666,0.27,uw,uw60725606,2016-07-22T19:26:20.620Z,"26 km NW of Forks, Washington",earthquake,0.77,1.15,0.19,18.0,reviewed,uw,uw,2014-03-21 18:50:26.470000+00:00
7,85615,2014-04-02T18:52:02.910Z,49.2685,-126.6911667,4.477,1.87,md,9.0,222.0,0.667,0.84,uw,uw60734596,2016-07-22T19:26:52.650Z,"58 km WNW of Tofino, Canada",earthquake,3.89,70.3,0.122,3.0,reviewed,uw,uw,2014-04-02 18:52:02.910000+00:00
8,85781,2014-04-05T02:48:47.110Z,48.6143333,-125.1485,33.931,1.32,md,9.0,189.0,0.2197,0.67,uw,uw60732637,2016-07-22T19:27:00.050Z,"46 km SE of Ucluelet, Canada",earthquake,3.34,5.03,0.113,4.0,reviewed,uw,uw,2014-04-05 02:48:47.110000+00:00
9,85946,2014-04-07T05:44:39.280Z,48.5198333,-125.3716667,5.401,2.36,ml,12.0,227.0,0.3513,0.69,uw,uw60733682,2016-07-22T19:27:04.870Z,"48 km SSE of Ucluelet, Canada",earthquake,3.85,55.39,0.254,10.0,reviewed,uw,uw,2014-04-07 05:44:39.280000+00:00
10,86989,2014-04-24T03:23:33.950Z,49.4739,-127.6726,10.0,4.3,mb,,,,1.2,us,usb000qqtk,2014-07-14T20:11:12.000Z,"112 km WSW of Vernon, Canada",earthquake,,1.9,0.266,4.0,reviewed,pgc,us,2014-04-24 03:23:33.950000+00:00
11,86991,2014-04-24T03:40:56.820Z,49.5441,-127.7877,10.0,4.7,mwr,,,,1.05,us,usb000px7e,2022-08-07T00:06:09.110Z,"115 km WSW of Vernon, Canada",earthquake,,1.9,,,reviewed,pgc,pgc,2014-04-24 03:40:56.820000+00:00
12,86994,2014-04-24T04:18:58.760Z,47.3151667,-123.7978333,30.838,2.63,ml,26.0,147.0,0.09062,0.27,uw,uw60743077,2016-07-22T19:27:50.750Z,"12 km SSE of Neilton, Washington",earthquake,0.58,0.98,0.18,49.0,reviewed,uw,uw,2014-04-24 04:18:58.760000+00:00
13,88760,2014-05-21T04:04:19.620Z,49.1976667,-126.5495,9.477,2.75,ml,10.0,220.0,0.5633,0.19,uw,uw60777937,2016-07-22T19:29:06.400Z,"47 km W of Tofino, Canada",earthquake,2.19,31.61,0.171,16.0,reviewed,uw,uw,2014-05-21 04:04:19.620000+00:00
