,node,latitude_deg,latitude_min,longitude_deg,longitude_min,radius,buffer_zone,velocity_model_id,latitude,longitude
0,nod,47,24.0,125,40.0,15,15,10,47.4,-125.66666666666667
1,nod,47,33.0,125,45.0,15,15,10,47.55,-125.75
2,nod,47,42.0,125,50.0,15,15,10,47.7,-125.83333333333333
3,nod,47,51.0,125,55.0,15,15,10,47.85,-125.91666666666667
4,nod,48,0.0,126,5.0,15,15,10,48.0,-126.08333333333333
5,nod,48,9.0,126,15.0,15,15,10,48.15,-126.25
6,nod,48,18.0,126,30.0,15,15,10,48.3,-126.5
7,nod,48,27.0,126,40.0,15,15,10,48.45,-126.66666666666667
8,nod,48,36.0,126,50.0,15,20,10,48.6,-126.83333333333333
9,nod,48,41.0,126,55.0,15,20,10,48.68333333333333,-126.91666666666667
10,nod,48,46.0,127,0.0,15,20,10,48.766666666666666,-127.0
11,nod,48,55.0,127,15.0,15,20,10,48.916666666666664,-127.25
12,nod,49,1.0,127,25.0,15,20,10,49.016666666666666,-127.41666666666667
13,nod,49,9.0,127,35.0,15,20,10,49.15,-127.58333333333333
14,nod,49,16.0,127,40.0,15,20,10,49.266666666666666,-127.66666666666667
15,nod,49,22.0,127,45.0,15,20,10,49.36666666666667,-127.75
16,nod,49,31.0,127,50.0,15,15,10,49.516666666666666,-127.83333333333333
