,id,longitude,latitude,elevation
0,J73A,-126.192497,48.7677,-143.3
1,M03A,-126.103996,47.888302,-1818.0
2,M01A,-126.722099,49.150398,-132.9
3,J65A,-125.139603,47.8913,-165.2
4,J58A,-125.534401,47.318802,-1511.0
5,NCBC,-126.1752,48.4275,-398.0
6,NC89,-126.848767,48.670537,-1258.0
7,J65C,-125.139801,47.8913,-169.0
8,J73C,-126.192596,48.767899,-133.0
9,M02C,-125.601196,48.3069,-141.0
10,M04C,-125.192299,47.558399,-570.0
11,J58C,-125.534599,47.317799,-1527.0
12,FN13C,-125.301102,47.000401,-1764.0
13,M03C,-126.104599,47.888401,-1839.0
14,M01C,-126.722198,49.150398,-138.0
15,W04,-126.8908,48.5317,-2319.0
16,W08,-126.4011,48.564499,-1028.0
17,W06,-126.064697,48.182701,-1001.0
18,W09,-126.577003,48.688,-1156.0
19,W01,-126.342499,48.0797,-1697.0
20,W10,-126.702202,48.787899,-1070.0
21,W03,-126.728699,48.387501,-2489.0
22,W07,-126.282204,48.374699,-1152.0
23,W02,-126.496803,48.2593,-2133.0
