,node,latitude_deg,latitude_min,longitude_deg,longitude_min,radius,buffer_zone,velocity_model_id,latitude,longitude
0,nod,45,54.0,124,15.0,15,15,11,45.9,-124.25
1,nod,45,45.0,124,15.0,15,15,11,45.75,-124.25
2,nod,45,36.0,124,10.0,15,15,11,45.6,-124.16666666666667
3,nod,45,27.0,124,10.0,15,15,11,45.45,-124.16666666666667
4,nod,45,18.0,124,10.0,15,15,11,45.3,-124.16666666666667
5,nod,45,9.0,124,10.0,15,15,11,45.15,-124.16666666666667
6,nod,45,0.0,124,15.0,15,15,11,45.0,-124.25
7,nod,44,51.0,124,15.0,15,15,11,44.85,-124.25
8,nod,44,42.0,124,15.0,15,15,11,44.7,-124.25
9,nod,44,33.0,124,15.0,15,15,11,44.55,-124.25
10,nod,44,24.0,124,20.0,15,15,11,44.4,-124.33333333333333
11,nod,44,15.0,124,20.0,15,15,11,44.25,-124.33333333333333
12,nod,44,6.0,124,20.0,15,15,11,44.1,-124.33333333333333
13,nod,43,57.0,124,20.0,15,15,11,43.95,-124.33333333333333
14,nod,43,48.0,124,25.0,15,15,11,43.8,-124.41666666666667
15,nod,43,39.0,124,25.0,15,15,11,43.65,-124.41666666666667
16,nod,43,30.0,124,25.0,15,15,11,43.5,-124.41666666666667
17,nod,43,21.0,124,25.0,15,15,11,43.35,-124.41666666666667
